InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
564353,23318,BOX OF 6 MINI VINTAGE CRACKERS,48,24-08-2011 15:08,2.08,15764.0,United Kingdom
537463,22191,IVORY DINER WALL CLOCK,2,07-12-2010 10:08,8.5,12681.0,France
561695,22951,60 CAKE CASES DOLLY GIRL DESIGN,24,29-07-2011 10:00,0.55,14005.0,United Kingdom
538157,22952,60 CAKE CASES VINTAGE CHRISTMAS,6,09-12-2010 16:57,0.55,17576.0,United Kingdom
547374,22621,TRADITIONAL KNITTING NANCY,2,22-03-2011 13:54,1.45,16110.0,United Kingdom
565846,21408,SPOTTY PINK DUCK DOORSTOP,1,07-09-2011 12:41,4.25,14606.0,United Kingdom
567338,22654,DELUXE SEWING KIT ,3,19-09-2011 15:00,5.95,14146.0,United Kingdom
C541821,22960,JAM MAKING SET WITH JARS,-2,21-01-2011 16:41,4.25,15281.0,United Kingdom
540813,22382,LUNCH BAG SPACEBOY DESIGN ,3,11-01-2011 12:41,1.65,14669.0,United Kingdom
538558,22343,PARTY PIZZA DISH RED RETROSPOT,24,13-12-2010 10:58,0.21,13069.0,United Kingdom
548511,22367,CHILDRENS APRON SPACEBOY DESIGN,2,31-03-2011 15:43,1.95,14056.0,United Kingdom
576300,23343,JUMBO BAG VINTAGE CHRISTMAS ,1,14-11-2011 14:39,2.08,15058.0,United Kingdom
564227,22452,MEASURING TAPE BABUSHKA PINK,6,24-08-2011 10:19,2.95,15249.0,United Kingdom
551332,35004B,SET OF 3 BLACK FLYING DUCKS,12,27-04-2011 16:23,4.65,13078.0,United Kingdom
578927,20713,JUMBO BAG OWLS,3,27-11-2011 12:26,2.08,15747.0,United Kingdom
548666,22193,RED DINER WALL CLOCK,1,01-04-2011 14:58,8.5,13124.0,United Kingdom
537757,82483,WOOD 2 DRAWER CABINET WHITE FINISH,16,08-12-2010 11:38,4.95,17975.0,United Kingdom
569897,22722,SET OF 6 SPICE TINS PANTRY DESIGN,1,06-10-2011 16:01,3.95,17813.0,United Kingdom
577855,22286,DECORATION WOBBLY RABBIT METAL ,1,22-11-2011 11:18,0.39,15877.0,United Kingdom
576236,22274,FELTCRAFT DOLL EMILY,1,14-11-2011 13:31,2.95,13755.0,United Kingdom
554938,21975,PACK OF 60 DINOSAUR CAKE CASES,24,27-05-2011 13:34,0.55,12876.0,Belgium
567768,21928,JUMBO BAG SCANDINAVIAN BLUE PAISLEY,10,22-09-2011 11:17,2.08,15950.0,United Kingdom
578707,23114,VINTAGE LEAF CHOPPING BOARD  ,1,25-11-2011 11:20,4.95,17870.0,United Kingdom
537781,22759,SET OF 3 NOTEBOOKS IN PARCEL,1,08-12-2010 12:46,1.65,17341.0,United Kingdom
574671,35471D,SET OF 3 BIRD LIGHT PINK FEATHER ,5,06-11-2011 12:23,0.39,16744.0,United Kingdom
575755,23222,CHRISTMAS TREE HANGING GOLD,12,11-11-2011 10:45,0.83,17015.0,United Kingdom
572312,21484,CHICK GREY HOT WATER BOTTLE,1,23-10-2011 15:47,4.25,15022.0,United Kingdom
574544,23389,SPACEBOY MINI BACKPACK,4,04-11-2011 14:49,4.15,17084.0,United Kingdom
562892,21122,SET/10 PINK POLKADOT PARTY CANDLES,24,10-08-2011 12:24,1.25,16292.0,United Kingdom
579142,22975,SPACEBOY CHILDRENS EGG CUP,6,28-11-2011 13:06,1.25,16744.0,United Kingdom
546028,23006,TRAVEL CARD WALLET FLOWER MEADOW,24,09-03-2011 08:33,0.42,17049.0,United Kingdom
568593,23196,VINTAGE LEAF MAGNETIC NOTEPAD,12,28-09-2011 10:54,1.45,13988.0,United Kingdom
565067,22419,LIPSTICK PEN RED,5,31-08-2011 17:16,0.42,15856.0,United Kingdom
544042,82580,BATHROOM METAL SIGN,2,15-02-2011 11:52,0.55,14527.0,United Kingdom
570855,23225,CHERUB HEART DECORATION SILVER ,12,12-10-2011 14:56,0.83,17314.0,United Kingdom
552851,23170,REGENCY TEA PLATE ROSES ,48,11-05-2011 15:07,1.45,12731.0,France
577063,22866,HAND WARMER SCOTTY DOG DESIGN,12,17-11-2011 14:41,2.1,17183.0,United Kingdom
571502,84970L,SINGLE HEART ZINC T-LIGHT HOLDER,12,17-10-2011 15:18,1.25,14422.0,United Kingdom
537034,22314,OFFICE MUG WARMER CHOC+BLUE,6,03-12-2010 17:20,2.95,13081.0,United Kingdom
569228,22712,CARD DOLLY GIRL ,12,02-10-2011 14:47,0.42,15547.0,United Kingdom
C580966,22130,PARTY CONE CHRISTMAS DECORATION ,-1,06-12-2011 14:52,0.85,16554.0,United Kingdom
571461,72807B,SET/3 OCEAN SCENT CANDLE JEWEL BOX,1,17-10-2011 14:12,4.25,16932.0,United Kingdom
C554336,22431,WATERING CAN BLUE ELEPHANT,-1,23-05-2011 17:20,1.95,12474.0,Germany
568896,22886,NUMBER TILE VINTAGE FONT 7,2,29-09-2011 13:13,1.95,16361.0,United Kingdom
577485,23309,SET OF 60 I LOVE LONDON CAKE CASES ,2,20-11-2011 11:56,0.55,16360.0,United Kingdom
558195,85099B,JUMBO BAG RED RETROSPOT,10,27-06-2011 12:32,2.08,17735.0,United Kingdom
570675,22427,ENAMEL FLOWER JUG CREAM,3,11-10-2011 15:03,5.95,13690.0,United Kingdom
577951,23100,SILVER BELLS TABLE DECORATION,1,22-11-2011 12:09,1.25,17238.0,United Kingdom
569844,22745,POPPY'S PLAYHOUSE BEDROOM ,6,06-10-2011 13:30,2.1,12626.0,Germany
578244,23206,LUNCH BAG APPLE DESIGN,10,23-11-2011 12:36,1.65,15727.0,United Kingdom
537421,22187,GREEN CHRISTMAS TREE CARD HOLDER,1,06-12-2010 15:25,4.25,17218.0,United Kingdom
576062,22279,POCKET BAG BLUE PAISLEY RED SPOT,12,13-11-2011 15:30,1.25,12867.0,United Kingdom
545815,47590B,PINK HAPPY BIRTHDAY BUNTING,6,07-03-2011 12:26,5.45,14012.0,United Kingdom
570197,22510,GINGHAM BABUSHKA DOORSTOP,7,07-10-2011 15:45,3.75,13755.0,United Kingdom
554134,23280,FOLDING BUTTERFLY MIRROR HOT PINK ,24,23-05-2011 09:48,0.83,12583.0,France
541253,21733,RED HANGING HEART T-LIGHT HOLDER,2,16-01-2011 13:51,2.95,17841.0,United Kingdom
545468,22178,VICTORIAN GLASS HANGING T-LIGHT,12,03-03-2011 09:41,1.25,16571.0,United Kingdom
561068,84949,SILVER HANGING T-LIGHT HOLDER,12,24-07-2011 14:33,1.65,13116.0,United Kingdom
577806,22138,BAKING SET 9 PIECE RETROSPOT ,3,22-11-2011 08:20,4.95,12963.0,United Kingdom
570211,22573,STAR WOODEN CHRISTMAS DECORATION,1,09-10-2011 11:15,0.85,13558.0,United Kingdom
580539,22075,6 RIBBONS ELEGANT CHRISTMAS ,24,05-12-2011 08:39,0.39,18180.0,United Kingdom
549017,21843,RED RETROSPOT CAKE STAND,2,05-04-2011 15:20,10.95,15145.0,United Kingdom
556127,22652,TRAVEL SEWING KIT,10,09-06-2011 10:23,1.65,12406.0,Denmark
574657,23510,MINI PLAYING CARDS GYMKHANA,2,06-11-2011 11:43,0.42,13772.0,United Kingdom
548312,22917,HERB MARKER ROSEMARY,2,30-03-2011 12:12,0.65,16059.0,United Kingdom
556107,90204,PAIR OF ENAMEL BUTTERFLY HAIRCLIP,1,08-06-2011 17:09,3.35,17360.0,United Kingdom
573019,20983,12 PENCILS TALL TUBE RED RETROSPOT,12,27-10-2011 12:33,0.85,15145.0,United Kingdom
574678,22382,LUNCH BAG SPACEBOY DESIGN ,10,06-11-2011 12:36,1.65,13365.0,United Kingdom
580727,22488,NATURAL SLATE RECTANGLE CHALKBOARD,1,05-12-2011 17:17,3.29,14096.0,United Kingdom
575740,20750,RED RETROSPOT MINI CASES,2,11-11-2011 09:25,7.95,18130.0,United Kingdom
580632,35970,ZINC FOLKART SLEIGH BELLS,3,05-12-2011 12:16,1.69,16360.0,United Kingdom
575852,85036B,CHOCOLATE 1 WICK MORRIS BOX CANDLE,6,11-11-2011 12:17,1.25,17238.0,United Kingdom
575692,20975,12 PENCILS SMALL TUBE RED RETROSPOT,5,10-11-2011 16:27,0.65,12508.0,France
574738,23169,CLASSIC GLASS COOKIE JAR,1,06-11-2011 16:01,4.15,12748.0,United Kingdom
576099,21108,FAIRY CAKE FLANNEL ASSORTED COLOUR,18,14-11-2011 10:28,0.79,13021.0,United Kingdom
576406,16156S,WRAP PINK FAIRY CAKES ,25,15-11-2011 11:17,0.42,13692.0,United Kingdom
577700,21616,4 PEAR BOTANICAL DINNER CANDLES,3,21-11-2011 12:06,1.25,14449.0,United Kingdom
560209,21716,BOYS VINTAGE TIN SEASIDE BUCKET,2,15-07-2011 14:05,2.55,15004.0,United Kingdom
546830,21974,SET OF 36 PAISLEY FLOWER DOILIES,12,17-03-2011 12:10,1.45,16839.0,United Kingdom
557758,22233,JIGSAW RABBIT AND BIRDHOUSE,1,22-06-2011 13:28,0.59,17585.0,United Kingdom
541987,21446,12 RED ROSE PEG PLACE SETTINGS,2,24-01-2011 16:05,1.25,14130.0,United Kingdom
575965,22713,CARD I LOVE LONDON ,12,13-11-2011 12:32,0.42,13426.0,United Kingdom
558568,22846,BREAD BIN DINER STYLE RED ,1,30-06-2011 14:37,16.95,16316.0,United Kingdom
555399,22147,FELTCRAFT BUTTERFLY HEARTS,3,02-06-2011 17:41,1.45,15555.0,United Kingdom
579749,22644,CERAMIC CHERRY CAKE MONEY BANK,12,30-11-2011 14:41,1.45,13362.0,United Kingdom
561661,47343A,FUSCHIA FLOWER PURSE WITH BEADS,1,28-07-2011 16:21,0.83,12743.0,Unspecified
564846,23263,SET OF 3 WOODEN HEART DECORATIONS,12,30-08-2011 15:16,1.25,14507.0,United Kingdom
571883,21807,WHITE CHRISTMAS STAR DECORATION,1,19-10-2011 13:58,0.42,14704.0,United Kingdom
557861,21114,LAVENDER SCENTED FABRIC HEART,10,23-06-2011 12:13,1.25,13437.0,United Kingdom
C562022,22960,JAM MAKING SET WITH JARS,-2,01-08-2011 15:39,3.75,17389.0,United Kingdom
580727,22123,PING MICROWAVE APRON,2,05-12-2011 17:17,4.13,14096.0,United Kingdom
542107,84992,72 SWEETHEART FAIRY CAKE CASES,1,25-01-2011 13:38,0.55,16222.0,United Kingdom
568833,23103,JINGLE BELL HEART DECORATION,24,29-09-2011 11:39,1.65,17348.0,United Kingdom
556784,21678,PAISLEY PATTERN  STICKERS,6,14-06-2011 13:15,0.85,14461.0,United Kingdom
C543475,22244,3 HOOK HANGER MAGIC GARDEN,-1,08-02-2011 15:15,1.95,14415.0,United Kingdom
579267,22698,PINK REGENCY TEACUP AND SAUCER,6,29-11-2011 09:42,2.95,14961.0,United Kingdom
555931,23147,SINGLE ANTIQUE ROSE HOOK IVORY,12,08-06-2011 08:31,1.45,17828.0,Malta
541658,22753,SMALL YELLOW BABUSHKA NOTEBOOK ,3,20-01-2011 12:16,0.85,15529.0,United Kingdom
540187,84380,SET OF 3 BUTTERFLY COOKIE CUTTERS,12,05-01-2011 13:53,1.25,15358.0,United Kingdom
575194,20971,PINK BLUE FELT CRAFT TRINKET BOX,12,09-11-2011 09:38,1.25,16767.0,United Kingdom
576062,20975,12 PENCILS SMALL TUBE RED RETROSPOT,3,13-11-2011 15:30,0.65,12867.0,United Kingdom
573588,22195,LARGE HEART MEASURING SPOONS,12,31-10-2011 15:01,1.65,12588.0,Finland
580502,22422,TOOTHPASTE TUBE PEN,12,04-12-2011 13:15,0.12,16931.0,United Kingdom
574714,21790,VINTAGE SNAP CARDS,3,06-11-2011 14:29,0.85,15427.0,United Kingdom
569521,21163,DO NOT TOUCH MY STUFF DOOR HANGER ,1,04-10-2011 14:33,0.39,16474.0,United Kingdom
566451,23129,HEART SHAPED HOLLY WREATH,2,12-09-2011 16:14,4.15,18069.0,United Kingdom
564729,21977,PACK OF 60 PINK PAISLEY CAKE CASES,3,28-08-2011 12:44,0.55,13137.0,United Kingdom
576677,23581,JUMBO BAG PAISLEY PARK,6,16-11-2011 12:03,2.08,16393.0,United Kingdom
548616,21983,PACK OF 12 BLUE PAISLEY TISSUES ,24,01-04-2011 11:48,0.29,18263.0,United Kingdom
554073,22418,10 COLOUR SPACEBOY PEN,24,22-05-2011 11:26,0.85,17007.0,United Kingdom
545227,21932,SCANDINAVIAN PAISLEY PICNIC BAG,5,01-03-2011 09:35,2.95,12428.0,Finland
578016,22077,6 RIBBONS RUSTIC CHARM,6,22-11-2011 13:02,1.95,14506.0,United Kingdom
C567902,22382,LUNCH BAG SPACEBOY DESIGN ,-1,22-09-2011 16:29,1.65,15555.0,United Kingdom
553505,23080,RED METAL BOX TOP SECRET,2,17-05-2011 13:27,8.25,12949.0,United Kingdom
540907,20711,JUMBO BAG TOYS ,10,12-01-2011 11:52,1.95,13488.0,United Kingdom
537362,22630,DOLLY GIRL LUNCH BOX,1,06-12-2010 12:34,1.95,17596.0,United Kingdom
575846,22745,POPPY'S PLAYHOUSE BEDROOM ,2,11-11-2011 12:07,2.1,17364.0,United Kingdom
537176,22553,PLASTERS IN TIN SKULLS,4,05-12-2010 13:26,1.65,16411.0,United Kingdom
548655,22423,REGENCY CAKESTAND 3 TIER,1,01-04-2011 13:47,12.75,15605.0,United Kingdom
563555,23335,EGG FRYING PAN IVORY ,1,17-08-2011 13:21,2.08,16755.0,United Kingdom
568895,21901,"KEY FOB , BACK DOOR ",5,29-09-2011 13:11,0.65,15356.0,United Kingdom
568645,23108,SET OF 10 LED DOLLY LIGHTS,2,28-09-2011 11:38,6.25,12656.0,France
541241,21389,IVORY HANGING DECORATION  BIRD,4,16-01-2011 11:08,0.85,13782.0,United Kingdom
552269,22917,HERB MARKER ROSEMARY,1,08-05-2011 11:52,0.65,16121.0,United Kingdom
539728,85177,BASKET OF FLOWERS SEWING KIT,12,21-12-2010 14:26,0.85,16270.0,United Kingdom
543367,85049C,ROMANTIC PINKS RIBBONS ,12,07-02-2011 14:33,1.25,18225.0,United Kingdom
547805,22325,MOBILE VINTAGE HEARTS ,3,25-03-2011 13:35,4.95,13327.0,United Kingdom
547962,21843,RED RETROSPOT CAKE STAND,1,28-03-2011 15:38,10.95,12957.0,United Kingdom
544277,17038,PORCELAIN BUDAH INCENSE HOLDER,100,17-02-2011 11:58,0.1,13718.0,United Kingdom
567505,22617,BAKING SET SPACEBOY DESIGN,3,20-09-2011 14:34,4.95,12352.0,Norway
549056,22699,ROSES REGENCY TEACUP AND SAUCER ,4,06-04-2011 10:40,2.95,15917.0,United Kingdom
540458,22746,POPPY'S PLAYHOUSE LIVINGROOM ,6,07-01-2011 12:28,2.1,12501.0,Germany
558628,23290,SPACEBOY CHILDRENS BOWL,8,30-06-2011 17:59,1.25,12626.0,Germany
569714,21934,SKULL SHOULDER BAG,1,05-10-2011 17:28,1.65,18033.0,United Kingdom
543107,22261,FELT EGG COSY WHITE RABBIT ,12,03-02-2011 12:27,0.85,13800.0,United Kingdom
542591,84078A,SET/4 WHITE RETRO STORAGE CUBES ,3,28-01-2011 16:42,39.95,13089.0,United Kingdom
567184,23247,BISCUIT TIN 50'S CHRISTMAS,2,18-09-2011 15:41,2.89,16033.0,United Kingdom
567475,22352,LUNCH BOX WITH CUTLERY RETROSPOT ,1,20-09-2011 13:11,2.55,16360.0,United Kingdom
556879,22560,TRADITIONAL MODELLING CLAY,1,15-06-2011 12:07,1.25,16461.0,United Kingdom
551533,20674,GREEN POLKADOT BOWL,2,01-05-2011 14:58,1.25,15407.0,United Kingdom
557572,21499,BLUE POLKADOT WRAP,100,21-06-2011 10:55,0.42,15061.0,United Kingdom
578151,23495,SET OF 3 PANTRY WOODEN SPOONS,12,23-11-2011 11:18,1.25,16020.0,United Kingdom
542887,21931,JUMBO STORAGE BAG SUKI,20,01-02-2011 13:10,1.95,12373.0,Austria
C557648,22197,POPCORN HOLDER,-3,21-06-2011 17:14,0.72,17677.0,United Kingdom
562688,22210,WOOD STAMP SET BEST WISHES,4,08-08-2011 13:53,0.83,13869.0,United Kingdom
554096,21747,SMALL SKULL WINDMILL,24,22-05-2011 12:51,1.25,14921.0,United Kingdom
578926,22940,FELTCRAFT CHRISTMAS FAIRY,1,27-11-2011 12:24,4.25,18156.0,United Kingdom
568165,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,25-09-2011 12:42,2.95,17131.0,United Kingdom
578707,84510A,SET OF 4 ENGLISH ROSE COASTERS,2,25-11-2011 11:20,1.25,17870.0,United Kingdom
567912,23322,LARGE WHITE HEART OF WICKER,1,22-09-2011 17:07,2.95,15555.0,United Kingdom
554917,22855,FINE WICKER HEART ,12,27-05-2011 12:29,1.25,15104.0,United Kingdom
574677,22798,ANTIQUE GLASS DRESSING TABLE POT,2,06-11-2011 12:32,2.95,16445.0,United Kingdom
575324,21533,RETROSPOT LARGE MILK JUG,9,09-11-2011 13:45,4.95,14240.0,United Kingdom
546678,22312,OFFICE MUG WARMER POLKADOT,6,15-03-2011 16:39,2.95,12681.0,France
545701,22633,HAND WARMER UNION JACK,4,06-03-2011 15:17,2.1,17107.0,United Kingdom
561025,22412,METAL SIGN NEIGHBOURHOOD WITCH ,1,24-07-2011 10:37,2.1,16241.0,United Kingdom
547772,84916,HAND TOWEL PALE BLUE W FLOWERS,2,25-03-2011 11:34,5.95,17979.0,United Kingdom
547920,84978,HANGING HEART JAR T-LIGHT HOLDER,3,28-03-2011 12:52,1.25,14730.0,United Kingdom
539044,22878,NUMBER TILE COTTAGE GARDEN No,10,15-12-2010 15:47,2.1,15727.0,United Kingdom
580974,21507,ELEPHANT BIRTHDAY CARD ,12,06-12-2011 15:17,0.42,14293.0,United Kingdom
536846,22502,PICNIC BASKET WICKER SMALL,1,02-12-2010 19:59,5.95,14573.0,United Kingdom
564342,22570,FELTCRAFT CUSHION RABBIT,1,24-08-2011 14:53,3.75,16340.0,United Kingdom
561713,22966,GINGERBREAD MAN COOKIE CUTTER,78,29-07-2011 11:56,1.25,12901.0,United Kingdom
542617,85035A,GARDENIA 3 WICK MORRIS BOXED CANDLE,1,30-01-2011 15:48,4.25,17463.0,United Kingdom
546531,22270,HAPPY EASTER HANGING DECORATION,4,14-03-2011 13:35,3.75,15738.0,United Kingdom
548868,22509,SEWING BOX RETROSPOT DESIGN ,1,04-04-2011 14:28,16.95,13015.0,United Kingdom
568589,21428,SET3 BOOK BOX GREEN GINGHAM FLOWER ,4,28-09-2011 10:27,4.25,17405.0,United Kingdom
569327,22548,HEADS AND TAILS SPORTING FUN,12,03-10-2011 12:47,1.25,15091.0,United Kingdom
567526,22625,RED KITCHEN SCALES,48,21-09-2011 09:06,7.65,12435.0,Denmark
567853,22970,LONDON BUS COFFEE MUG,6,22-09-2011 13:31,2.55,15484.0,United Kingdom
564355,47566,PARTY BUNTING,4,24-08-2011 15:12,4.95,13507.0,United Kingdom
568301,21232,STRAWBERRY CERAMIC TRINKET BOX,1,26-09-2011 12:45,1.25,16383.0,United Kingdom
573380,23329,DECORATIVE WICKER HEART LARGE,2,30-10-2011 14:04,1.65,14572.0,United Kingdom
563730,22297,HEART IVORY TRELLIS SMALL,24,18-08-2011 17:43,1.25,14221.0,United Kingdom
566213,22086,PAPER CHAIN KIT 50'S CHRISTMAS ,18,09-09-2011 15:09,2.95,14895.0,United Kingdom
560239,21442,GREEN BIRDHOUSE DECORATION,12,17-07-2011 11:50,0.85,13507.0,United Kingdom
567166,82582,AREA PATROLLED METAL SIGN,12,18-09-2011 12:15,2.1,13078.0,United Kingdom
540839,22241,GARLAND WOODEN HAPPY EASTER,3,11-01-2011 15:42,1.25,16791.0,United Kingdom
547063,82578,KITCHEN METAL SIGN,2,20-03-2011 13:33,0.55,14769.0,United Kingdom
550785,17084J,LOVE POTION MASALA INCENSE,25,20-04-2011 14:02,0.21,15517.0,United Kingdom
538473,85152,HAND OVER THE CHOCOLATE   SIGN ,4,12-12-2010 12:35,2.1,13668.0,United Kingdom
550152,22302,COFFEE MUG PEARS  DESIGN,4,14-04-2011 14:43,2.55,17362.0,United Kingdom
572893,22252,BIRDCAGE DECORATION TEALIGHT HOLDER,12,26-10-2011 14:36,1.25,18059.0,United Kingdom
577025,21098,CHRISTMAS TOILET ROLL,12,17-11-2011 12:54,1.25,16161.0,United Kingdom
555851,22907,PACK OF 20 NAPKINS PANTRY DESIGN,2,07-06-2011 13:37,0.85,13050.0,United Kingdom
546563,22911,PAPER CHAIN KIT LONDON,6,15-03-2011 10:49,2.95,15047.0,United Kingdom
578757,21429,RED GINGHAM ROSE JEWELLERY BOX,2,25-11-2011 11:41,1.95,12748.0,United Kingdom
578289,85053,FRENCH ENAMEL CANDLEHOLDER,4,23-11-2011 14:07,2.1,17841.0,United Kingdom
C578832,21972,SET OF 36 DINOSAUR PAPER DOILIES,-1,25-11-2011 15:18,1.45,13069.0,United Kingdom
577052,22372,AIRLINE BAG VINTAGE WORLD CHAMPION ,1,17-11-2011 14:08,4.25,17397.0,United Kingdom
551289,21746,SMALL RED RETROSPOT WINDMILL,96,27-04-2011 14:18,1.06,18226.0,United Kingdom
559552,22531,MAGIC DRAWING SLATE CIRCUS PARADE  ,2,10-07-2011 16:29,0.42,16014.0,United Kingdom
541784,22721,SET OF 3 CAKE TINS SKETCHBOOK,4,21-01-2011 12:37,4.95,17277.0,United Kingdom
563844,84600,NEW BAROQUE JEWELLERY BOX ,2,19-08-2011 14:04,7.95,17725.0,United Kingdom
566282,22158,3 HEARTS HANGING DECORATION RUSTIC,24,11-09-2011 14:29,2.95,15782.0,United Kingdom
567878,23197,SKETCHBOOK MAGNETIC SHOPPING LIST,2,22-09-2011 14:42,1.45,16910.0,United Kingdom
575756,23322,LARGE WHITE HEART OF WICKER,1,11-11-2011 10:48,2.95,18118.0,United Kingdom
545231,22969,HOMEMADE JAM SCENTED CANDLES,12,01-03-2011 10:08,1.45,15194.0,United Kingdom
569367,22119,PEACE WOODEN BLOCK LETTERS,1,03-10-2011 15:28,6.95,13994.0,United Kingdom
580727,21791,VINTAGE HEADS AND TAILS CARD GAME ,1,05-12-2011 17:17,2.46,14096.0,United Kingdom
539049,20719,WOODLAND CHARLOTTE BAG,10,15-12-2010 16:21,0.85,15615.0,United Kingdom
541524,22934,BAKING MOULD EASTER EGG WHITE CHOC,6,19-01-2011 10:49,2.95,17091.0,United Kingdom
563328,82578,KITCHEN METAL SIGN,1,15-08-2011 13:07,0.55,14606.0,United Kingdom
558470,21428,SET3 BOOK BOX GREEN GINGHAM FLOWER ,4,29-06-2011 15:33,4.25,16801.0,United Kingdom
547496,21326,AGED GLASS SILVER T-LIGHT HOLDER,12,23-03-2011 12:13,0.65,18075.0,United Kingdom
568176,85015,SET OF 12  VINTAGE POSTCARD SET,24,25-09-2011 13:25,0.65,12685.0,France
578270,22614,PACK OF 12 SPACEBOY TISSUES,1,23-11-2011 13:39,0.83,14096.0,United Kingdom
566631,23240,SET OF 4 KNICK KNACK TINS DOILEY ,6,14-09-2011 10:34,4.15,15622.0,United Kingdom
540399,84792,ENCHANTED BIRD COATHANGER 5 HOOK,2,07-01-2011 09:23,4.65,14047.0,United Kingdom
550831,21955,DOORMAT UNION JACK GUNS AND ROSES,2,21-04-2011 10:29,7.95,13534.0,United Kingdom
563924,21916,SET 12 RETRO WHITE CHALK STICKS,4,21-08-2011 14:32,0.42,15984.0,United Kingdom
561694,22558,CLOTHES PEGS RETROSPOT PACK 24 ,12,29-07-2011 09:57,1.65,16147.0,United Kingdom
548698,22217,T-LIGHT HOLDER HANGING LACE,3,03-04-2011 10:55,1.25,18109.0,United Kingdom
574898,22382,LUNCH BAG SPACEBOY DESIGN ,20,07-11-2011 15:07,1.65,16242.0,United Kingdom
569423,22791,T-LIGHT GLASS FLUTED ANTIQUE,12,04-10-2011 10:42,1.25,16882.0,United Kingdom
575583,23300,GARDENERS KNEELING PAD CUP OF TEA ,1,10-11-2011 11:55,1.65,14456.0,United Kingdom
556415,85099B,JUMBO BAG RED RETROSPOT,50,10-06-2011 12:19,2.08,12409.0,Switzerland
571105,23398,HANGING HEART BONHEUR,2,13-10-2011 16:01,0.85,17614.0,United Kingdom
